time_mjd2000 mercury_x mercury_y mercury_z venus_x venus_y venus_z earth_x earth_y earth_z mars_x mars_y mars_z jupiter_x jupiter_y jupiter_z saturn_x saturn_y saturn_z uranus_x uranus_y uranus_z neptune_x neptune_y neptune_z sc_x sc_y sc_z
1.17994914e+04 1.73674697e+07 -6.51914259e+07 -6.92083628e+06 1.08074275e+08 9.28364527e+06 -6.10776350e+06 -1.28222304e+08 -7.85137519e+07 5.75205575e+03 8.05885468e+07 2.12277311e+08 2.47389899e+06 2.54791640e+08 -7.30458100e+08 -2.66003696e+06 1.40712653e+08 1.34309112e+09 -2.89230736e+07 1.84979181e+08 2.84593721e+09 8.15261180e+06 4.31197770e+09 1.15143453e+09 -1.23080582e+08 -1.21296878e+08 -1.03544045e+08 -2.66290098e+06
1.18009910e+04 2.21322097e+07 -6.30129468e+07 -7.17972299e+06 1.07574050e+08 1.37743206e+07 -6.01712982e+06 -1.26227850e+08 -8.17936729e+07 5.99310733e+03 7.77647935e+07 2.13638428e+08 2.57163511e+06 2.56369638e+08 -7.29819071e+08 -2.69800332e+06 1.39401772e+08 1.34321899e+09 -2.88731058e+07 1.84092313e+08 2.84595311e+09 8.16415551e+06 4.31179144e+09 1.15211904e+09 -1.23090386e+08 -1.19031454e+08 -1.08071473e+08 -2.79203458e+06
1.18024905e+04 2.67341232e+07 -6.03714787e+07 -7.38583719e+06 1.06886846e+08 1.82410530e+07 -5.91603735e+06 -1.24150762e+08 -8.50200492e+07 6.23029600e+03 7.49263002e+07 2.14959052e+08 2.66888378e+06 2.57946402e+08 -7.29176527e+08 -2.73595667e+06 1.38090765e+08 1.34334564e+09 -2.88231119e+07 1.83205426e+08 2.84596874e+09 8.17569844e+06 4.31160507e+09 1.15280352e+09 -1.23100187e+08 -1.16702249e+08 -1.12541007e+08 -2.91967252e+06
1.18039901e+04 3.11327861e+07 -5.72716058e+07 -7.53584656e+06 1.06013723e+08 2.26760562e+07 -5.80465450e+06 -1.21992498e+08 -8.81908356e+07 6.46347038e+03 7.20736596e+07 2.16239090e+08 2.76562851e+06 2.59521923e+08 -7.28530470e+08 -2.77389684e+06 1.36779633e+08 1.34347108e+09 -2.87730919e+07 1.82318523e+08 2.84598409e+09 8.18724058e+06 4.31141859e+09 1.15348797e+09 -1.23109985e+08 -1.14312065e+08 -1.16951751e+08 -3.04578530e+06
1.18054896e+04 3.52858252e+07 -5.37204633e+07 -7.62644855e+06 1.04956066e+08 2.70715872e+07 -5.68316766e+06 -1.19754564e+08 -9.13040276e+07 6.69248197e+03 6.92074625e+07 2.17478457e+08 2.86185304e+06 2.61096192e+08 -7.27880900e+08 -2.81182363e+06 1.35468378e+08 1.34359530e+09 -2.87230459e+07 1.81431601e+08 2.84599917e+09 8.19878193e+06 4.31123200e+09 1.15417239e+09 -1.23119780e+08 -1.11863686e+08 -1.21302973e+08 -3.17034794e+06
1.18069892e+04 3.91487598e+07 -4.97282425e+07 -7.65439716e+06 1.03715581e+08 3.14199597e+07 -5.55178091e+06 -1.17438513e+08 -9.43576621e+07 6.91718528e+03 6.63282980e+07 2.18677077e+08 2.95754134e+06 2.62669203e+08 -7.27227821e+08 -2.84973686e+06 1.34157000e+08 1.34371831e+09 -2.86729739e+07 1.80544663e+08 2.84601398e+09 8.21032249e+06 4.31104531e+09 1.15485678e+09 -1.23129572e+08 -1.09359868e+08 -1.25594093e+08 -3.29333982e+06
1.18084887e+04 4.26748907e+07 -4.53088082e+07 -7.61654317e+06 1.02294291e+08 3.57135572e+07 -5.41071577e+06 -1.15045945e+08 -9.73498187e+07 7.13743785e+03 6.34367528e+07 2.19834881e+08 3.05267758e+06 2.64240947e+08 -7.26571235e+08 -2.88763635e+06 1.32845502e+08 1.34384011e+09 -2.86228759e+07 1.79657707e+08 2.84602851e+09 8.22186225e+06 4.31085850e+09 1.15554114e+09 -1.23139361e+08 -1.06803329e+08 -1.29824681e+08 -3.41474444e+06
1.18099883e+04 4.58152642e+07 -4.04804424e+07 -7.50989161e+06 1.00694533e+08 3.99448464e+07 -5.26021081e+06 -1.12578505e+08 -1.00278621e+08 7.35310035e+03 6.05334120e+07 2.20951810e+08 3.14724618e+06 2.65811416e+08 -7.25911143e+08 -2.92552190e+06 1.31533883e+08 1.34396069e+09 -2.85727521e+07 1.78770734e+08 2.84604277e+09 8.23340122e+06 4.31067159e+09 1.15622547e+09 -1.23149147e+08 -1.04196737e+08 -1.33994445e+08 -3.53454922e+06
1.18114878e+04 4.85187464e+07 -3.52667301e+07 -7.33168106e+06 9.89189618e+07 4.41063901e+07 -5.10052136e+06 -1.10037883e+08 -1.03142236e+08 7.56403665e+03 5.76188579e+07 2.22027812e+08 3.24123179e+06 2.67380602e+08 -7.25247548e+08 -2.96339333e+06 1.30222145e+08 1.34408005e+09 -2.85226024e+07 1.77883743e+08 2.84605676e+09 8.24493940e+06 4.31048457e+09 1.15690977e+09 -1.23158929e+08 -1.01542707e+08 -1.38103220e+08 -3.65274525e+06
1.18129874e+04 5.07322622e+07 -2.96975944e+07 -7.07949008e+06 9.69705370e+07 4.81908601e+07 -4.93191909e+06 -1.07425808e+08 -1.05938878e+08 7.77011390e+03 5.46936710e+07 2.23062844e+08 3.33461926e+06 2.68948497e+08 -7.24580451e+08 -3.00125045e+06 1.28910289e+08 1.34419820e+09 -2.84724270e+07 1.76996736e+08 2.84607047e+09 8.25647677e+06 4.31029745e+09 1.15759405e+09 -1.23168709e+08 -9.88437899e+07 -1.42150964e+08 -3.76932709e+06
